Part Name,Quantity,Estimated Cost,Already Owned,Requested Money
Ender 3 Pro,1x,$210.00,Yes,$0.00
Rasberry Pi 4B,1x,$55.00,Yes,$0.00
2 kg ASA Filament,1x,$35.00,No,$35.00
Orbiter 2.0 Extruder,1x,$60.00,Yes,$0.00
CNC Expansion Board with A4988 Driver,1x,$10.00,Yes,$0.00
5015 Radial Fans 24V,2x,$15.00,Yes,$0.00
M3 Button Head Screw Set,1x,$10.00,Yes,$0.00
F695 Bearings,10x,$7.00,Yes,$0.00
M3 x 3 Set Screw,10x ,$6.00,Yes,$0.00
16 AWG Wire,1x,$9.00,Yes,$0.00
LM2596 DC-DC Step Down Converter,1x,$8.00,Yes,$0.00
465 Tooth GT2 Timing Belt– 6mm Width,1x,$10.00,Yes,$0.00
175 Tooth GT2 Timming Belt – 9mm Width,1x,$15.00,Yes,$0.00
104 Tooth GT2 Timing Belt – 6mm Width,1x,$8.00,Yes,$0.00
Total,,$458.00,,$35.00
